Cn Gene Value calculated;Gene;Tumor Sample Barcode;Max. Gene Sort Value;Max. Weight for nested sorting
CN gain (0.2 <= CN < 0.6);RPTN;TCGA-XF-AAN2;-0,05804315;0
CN gain (0.2 <= CN < 0.6);RB1;TCGA-XF-AAN2;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);ERBB2;TCGA-XF-AAN0;-0,01710818;0
CN gain (0.2 <= CN < 0.6);RAI1;TCGA-XF-AAMX;-0,06793681;0
CN gain (0.2 <= CN < 0.6);PARD3;TCGA-XF-AAML;-0,09809461;0
CN gain (0.2 <= CN < 0.6);UNC93B1;TCGA-XF-AAML;-0,02132329;0
CN gain (0.2 <= CN < 0.6);ERBB2;TCGA-XF-AAML;-0,01710818;0
CN gain (0.2 <= CN < 0.6);GNA13;TCGA-XF-AAML;-0,002813749;0
CN gain (0.2 <= CN < 0.6);PSIP1;TCGA-XF-AAML;-0,000196550;0
CN gain (0.2 <= CN < 0.6);TP53;TCGA-XF-AAML;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);FOXA1;TCGA-XF-AAMF;-1,219883e-06;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-XF-A9T8;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);PARD3;TCGA-XF-A9ST;-0,09809461;0
CN gain (0.2 <= CN < 0.6);MBD1;TCGA-XF-A9ST;-0,004789179;0
CN gain (0.2 <= CN < 0.6);KDM6A;TCGA-XF-A8HI;-8,704942e-13;0
CN gain (0.2 <= CN < 0.6);FGFR3;TCGA-UY-A78N;-1,451597e-10;0
CN gain (0.2 <= CN < 0.6);TP53;TCGA-UY-A78N;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);ASXL2;TCGA-UY-A78K;-0,000254107;0
CN gain (0.2 <= CN < 0.6);CDKN1A;TCGA-GV-A40E;-2,352752e-11;0
CN gain (0.2 <= CN < 0.6);HES1;TCGA-GV-A3QF;-0,03029985;0
CN gain (0.2 <= CN < 0.6);DNAH6;TCGA-GV-A3QF;-0,02222557;0
CN gain (0.2 <= CN < 0.6);ELF3;TCGA-GV-A3JV;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);ARID1B;TCGA-GU-AATO;-0,05386966;0
CN gain (0.2 <= CN < 0.6);CDKN1A;TCGA-GU-AATO;-2,352752e-11;0
CN gain (0.2 <= CN < 0.6);RB1;TCGA-GU-AATO;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-GU-AATO;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);THRAP3;TCGA-GU-A767;-0,04514966;0
CN gain (0.2 <= CN < 0.6);ERBB3;TCGA-GU-A42R;-0,03119301;0
CN gain (0.2 <= CN < 0.6);FGFR3;TCGA-GU-A42R;-1,451597e-10;0
CN gain (0.2 <= CN < 0.6);C3orf70;TCGA-GU-A42Q;-0,000196550;0
CN gain (0.2 <= CN < 0.6);RBM10;TCGA-GU-A42P;-0,001178105;0
CN gain (0.2 <= CN < 0.6);ARID1A;TCGA-GU-A42P;-3,836622e-12;0
CN gain (0.2 <= CN < 0.6);KDM6A;TCGA-GU-A42P;-8,704942e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-GD-A76B;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);FAT1;TCGA-GC-A6I1;-0,000116499;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-GC-A3I6;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);FGFR3;TCGA-GC-A3BM;-1,451597e-10;0
CN gain (0.2 <= CN < 0.6);GNA13;TCGA-G2-A2EO;-0,002813749;0
CN gain (0.2 <= CN < 0.6);FGFR3;TCGA-G2-A2EO;-1,451597e-10;0
CN gain (0.2 <= CN < 0.6);ERCC2;TCGA-FT-A3EE;-1,092379e-09;0
CN gain (0.2 <= CN < 0.6);KRAS;TCGA-FJ-A3Z9;-1,578984e-06;0
CN gain (0.2 <= CN < 0.6);RHOA;TCGA-FD-A6TI;-2,637318e-05;0
CN gain (0.2 <= CN < 0.6);CUL1;TCGA-FD-A6TH;-0,002056915;0
CN gain (0.2 <= CN < 0.6);BCL2L1;TCGA-FD-A62O;-0,02132329;0
CN gain (0.2 <= CN < 0.6);EP300;TCGA-FD-A5C0;-3,781069e-11;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-FD-A5C0;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);ASXL2;TCGA-FD-A3SS;-0,000254107;0
CN gain (0.2 <= CN < 0.6);TXNIP;TCGA-FD-A3SO;-0,03475802;0
CN gain (0.2 <= CN < 0.6);FOXA1;TCGA-FD-A3SM;-1,219883e-06;0
CN gain (0.2 <= CN < 0.6);STAG2;TCGA-FD-A3SL;-4,671652e-12;0
CN gain (0.2 <= CN < 0.6);UNC93B1;TCGA-FD-A3SJ;-0,02132329;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-FD-A3SJ;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-FD-A3B6;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);RPTN;TCGA-E7-A97Q;-0,05804315;0
CN gain (0.2 <= CN < 0.6);KDM6A;TCGA-E7-A97Q;-8,704942e-13;0
CN gain (0.2 <= CN < 0.6);RHOB;TCGA-E7-A97Q;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);ELF3;TCGA-E7-A97Q;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);DNAH6;TCGA-E7-A541;-0,02222557;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-E7-A4IJ;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);FOXA1;TCGA-E2-A2P5;-1,41354e-07;0
CN gain (0.2 <= CN < 0.6);BCL2L1;TCGA-DK-AA75;-0,02132329;0
CN gain (0.2 <= CN < 0.6);TP53;TCGA-DK-AA6W;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);NFE2L2;TCGA-DK-AA6Q;-0,001794759;0
CN gain (0.2 <= CN < 0.6);ARID1A;TCGA-DK-A3X2;-3,836622e-12;0
CN gain (0.2 <= CN < 0.6);KLF5;TCGA-DK-A3IU;-0,000196550;0
CN gain (0.2 <= CN < 0.6);ARID1A;TCGA-DK-A3IM;-3,836622e-12;0
CN gain (0.2 <= CN < 0.6);RB1;TCGA-DK-A3IL;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);ATM;TCGA-CU-A0YR;-0,02104185;0
CN gain (0.2 <= CN < 0.6);CUL1;TCGA-CU-A0YO;-0,002056915;0
CN gain (0.2 <= CN < 0.6);RB1;TCGA-CU-A0YN;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);ELF3;TCGA-CF-A9FL;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);KDM6A;TCGA-BT-A2LB;-8,704942e-13;0
CN gain (0.2 <= CN < 0.6);NRAS;TCGA-BT-A20W;-0,05804315;0
CN gain (0.2 <= CN < 0.6);RBM10;TCGA-BT-A20V;-0,001178105;0
CN gain (0.2 <= CN < 0.6);TXNIP;TCGA-BT-A20T;-0,03475802;0
CN gain (0.2 <= CN < 0.6);FGFR3;TCGA-BT-A20T;-1,451597e-10;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-BT-A20R;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);ERCC2;TCGA-BT-A20O;-1,092379e-09;0
CN gain (0.2 <= CN < 0.6);ASXL2;TCGA-BT-A0YX;-0,000254107;0
CN gain (0.2 <= CN < 0.6);C3orf70;TCGA-BT-A0YX;-0,000196550;0
CN gain (0.2 <= CN < 0.6);CUL1;TCGA-BT-A0S7;-0,002056915;0
CN gain (0.2 <= CN < 0.6);KLF5;TCGA-BL-A3JM;-0,000196550;0
CN gain (0.2 <= CN < 0.6);TP53;TCGA-BL-A3JM;-5,077883e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-BH-A42T;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-BH-A208;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);NCOR1;TCGA-BH-A1FC;-0,000351306;0
CN gain (0.2 <= CN < 0.6);RUFY1;TCGA-BH-A1EO;-0,08805339;0
CN gain (0.2 <= CN < 0.6);ERBB2;TCGA-BH-A18P;-0,002898264;0
CN gain (0.2 <= CN < 0.6);MAP3K1;TCGA-BH-A18N;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);MAP3K1;TCGA-BH-A18M;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);TP53;TCGA-B6-A0WX;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);GATA3;TCGA-B6-A0IN;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-B6-A0IK;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);RUNX1;TCGA-B6-A0IH;-3,676032e-11;0
CN gain (0.2 <= CN < 0.6);GATA3;TCGA-AR-A0U2;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);KCNN3;TCGA-AO-A0J5;-0,0454224;0
CN gain (0.2 <= CN < 0.6);FOXA1;TCGA-AC-A2FM;-1,41354e-07;0
CN gain (0.2 <= CN < 0.6);MYH9;TCGA-AC-A23H;-0,06053351;0
CN gain (0.2 <= CN < 0.6);TGS1;TCGA-AC-A23H;-0,02683934;0
CN gain (0.2 <= CN < 0.6);MUC6;TCGA-AC-A23H;-0,02676936;0
CN gain (0.2 <= CN < 0.6);SP3;TCGA-AC-A23H;-0,01962505;0
CN gain (0.2 <= CN < 0.6);SF3B1;TCGA-AC-A23H;-0,002870831;0
CN gain (0.2 <= CN < 0.6);KDM6A;TCGA-AC-A23H;-0,008487218;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-AC-A23H;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-A8-A08L;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);GATA3;TCGA-A8-A08J;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);HRNR;TCGA-A8-A06X;-0,000298002;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-A2-A0YT;-4,567e-13;0
CN gain (0.2 <= CN < 0.6);IRS4;TCGA-A2-A0T2;-0,03207077;0
CN gain (0.2 <= CN < 0.6);KCNN3;TCGA-A2-A0CO;-0,0454224;0
CN gain (0.2 <= CN < 0.6);GNA13;TCGA-5N-A9KM;-0,002813749;0
CN gain (0.2 <= CN < 0.6);PIK3CA;TCGA-5N-A9KI;-6,77051e-13;0
CN gain (0.2 <= CN < 0.6);RXRA;TCGA-4Z-AA82;-0,000922686;0
